gene,pval,qval,log2fc,mean,zero_mean,zero_variance
RB1CC1,0.03381771024992026,0.12223002462879676,0.18128726430147507,0.044966162741708185,False,False
PCMTD1,0.26282630996024825,0.4880555722230265,-0.20774487855466708,0.06653241656112201,False,False
VCPIP1,0.38366426954362753,0.609673393843753,0.005804096029992803,-0.008342105160439818,False,False
SGK3,0.9670928885910965,0.979850434941144,-0.07512204205109171,-0.01881348331879337,False,False
CSPP1,4.029079673414076e-05,0.0004351720819136688,0.39872579238780725,-0.028421044496376648,False,False
LY96,0.31029892905044776,0.5433670290212084,0.015951638092586116,0.05914004982230364,False,False
OGFRL1,0.0066213457889194765,0.03480612377635428,-0.42336628422270584,0.06559975797365486,False,False
PLEKHB2,0.6463721197011821,0.809062431405056,0.0559178129771953,-0.004496760142419576,False,False
HS6ST1,0.5384716483764498,0.7321063935174683,-0.0714417073756398,-0.018511957989327095,False,False
NEURL3,0.009624045861573921,0.04734962065347312,-0.4014588708073671,0.06755383282313032,False,False
ARID5A,0.005824792788469632,0.0313948383238178,-0.35301244907425533,0.13424956568015106,False,False
CNNM3,0.6429849390689605,0.8073760558838744,-0.035652585308921354,-0.026443538187875947,False,False
INPP4A,0.16061826221660824,0.3604784862247742,0.0949354766700069,0.07982304246910177,False,False
2010300C02RIK,0.0016097377613341966,0.01123970936891175,-0.44657442929880914,0.03589906326577633,False,False
TSGA10,0.724003941884241,0.8666107789220461,0.01799034193374521,0.003533272337268005,False,False
MITD1,0.4552428993378015,0.6793020057577016,0.09369600711053987,0.03971471954608642,False,False
GM16152,9.089309212846485e-05,0.000910577535272483,0.38894702546794097,0.10912199037047376,False,False
CHST10,0.24481109078672636,0.472697392475767,-0.2161140762558931,0.02761937890584291,False,False
MAP4K4,0.011451499072273727,0.054218142011706945,0.3578674171934135,0.07985733834562925,False,False
IL1R2,0.1573680039528388,0.3557829361648399,0.09379294217574687,-0.1210147275284205,False,False
IL18RAP,0.005391713560363797,0.029520966325556234,-0.362975833995365,-0.010897403213545237,False,False
FHL2,0.8669321672539161,0.9337401168906303,0.024664160947223533,-0.0497775934112642,False,False
NABP1,0.06790968598507778,0.2029948991878271,-0.21408391242824093,-0.022938403352026196,False,False
STAT4,0.00018574603827272414,0.0017119593194136074,-0.24383014995954477,0.029379150252553478,False,False
MFSD6,0.0021404119852612294,0.014057575152606413,0.2645331258752285,0.04975958882127632,False,False
INPP1,2.0310473988250756e-06,2.7664266294341546e-05,-0.5182068909629305,0.11053901673956093,False,False
1700019D03RIK,0.3750726521424944,0.6001596546145817,-0.1684573531726517,0.024867144016399664,False,False
PGAP1,0.02132072916036953,0.08618686568482713,0.20352166779345343,0.020932195936074236,False,False
ANKRD44,0.09440447797931797,0.2574000107132335,-0.05496763301623856,0.09546257057731497,False,False
RFTN2,0.6728131641896102,0.8278139487749708,-0.1084515293796282,0.03598030660636775,False,False
BOLL,0.8640864208348672,0.9318248649018751,-0.014134859051763041,-0.017917880791065224,False,False
SGOL2A,3.8520758789010343e-28,3.328434314112925e-26,1.2267523345957394,-0.03827569961715516,False,False
CLK1,0.33923232645085777,0.5740375658730855,-0.08740614608318506,0.03487896017007184,False,False
CFLAR,0.01595021333775464,0.06896313502766731,-0.23615717086358975,0.017082588885990714,False,False
CASP8,0.2949722659936488,0.5261924615951218,0.1327085637247895,0.026020811412237194,False,False
STRADB,0.2384053526504054,0.46773166663366966,-0.21038273291805865,-0.0015798417743918894,False,False
G730003C15RIK,0.9045869011873168,0.9513818112525412,-0.007061908614065933,-0.03872125990342993,False,False
ALS2,0.5280543186289167,0.7321063935174683,-0.15920669660346456,0.029101975780876376,False,False
GM11579,1.426458790379453e-06,1.99199927040363e-05,0.49636375068889393,0.0502687028482158,False,False
CTLA4,5.624948042298505e-05,0.0005958996680825811,0.37649391757824235,-0.013069325190891531,False,False
ICOS,0.019895040837251337,0.08198180017138591,0.44942357988432785,-0.07722900935701513,False,False
PARD3B,0.8332612064329852,0.9175496757416185,-0.021236995482757353,-0.005930479229513016,False,False
NRP2,9.672143423092049e-05,0.0009585475471272228,-0.5005569456909055,0.037870574705879054,False,False
GM4208,0.014585381068284877,0.06473287103339917,-0.2216246046189354,-0.004202015069215102,False,False
GM20342,0.1263000670235328,0.3076825421322187,0.09203789415766786,0.017469994391088074,False,False
KLF7,0.07043769437229572,0.20663178668686247,0.1337144996549873,-0.04449672127501455,False,False
FZD5,0.7950073842810944,0.8992787702426663,-0.062137965270950585,-0.029146510597486075,False,False
PLEKHM3,0.5623167155282269,0.7457101767076966,-0.005815856687360008,0.024135107389335556,False,False
